#Données de temps d'insertion, de recherche et de taux de charge sur une table de hachage.
#Taille_map	Insertion	Recherche	Charge
138 3.58935e-06 2.55425e-06 0.698492
139 4.0878e-06 1.8758e-06 0.703518
140 3.3468e-06 1.9008e-06 0.708543
141 4.1357e-06 2.9267e-06 0.713568
142 3.42215e-06 2.83695e-06 0.718593
143 3.4032e-06 2.9944e-06 0.723618
144 3.5598e-06 1.8545e-06 0.728643
145 3.65305e-06 1.95055e-06 0.733668
146 3.8783e-06 2.5347e-06 0.738693
147 3.80845e-06 2.0821e-06 0.743719
148 3.8612e-06 2.24485e-06 0.748744
149 4.37525e-06 2.91255e-06 0.753769
150 3.7085e-06 2.79405e-06 0.758794
151 3.5377e-06 2.0518e-06 0.763819
152 3.4766e-06 2.82275e-06 0.768844
153 3.98515e-06 2.5187e-06 0.773869
154 4.71215e-06 2.1226e-06 0.778894
155 3.34675e-06 2.59295e-06 0.78392
156 3.58725e-06 2.01365e-06 0.788945
157 3.7547e-06 2.16005e-06 0.79397
158 3.8244e-06 2.139e-06 0.798995
159 3.73315e-06 3.04425e-06 0.80402
160 4.38865e-06 3.31575e-06 0.809045
161 4.0931e-06 3.14635e-06 0.81407
162 3.50285e-06 2.04965e-06 0.819095
163 3.4456e-06 2.01385e-06 0.824121
164 4.4427e-06 2.75195e-06 0.829146
165 3.69615e-06 2.07975e-06 0.834171
166 3.70585e-06 3.23545e-06 0.839196
167 4.1496e-06 2.7686e-06 0.844221
168 3.6891e-06 3.27665e-06 0.849246
169 3.7424e-06 1.98235e-06 0.854271
170 4.34135e-06 3.3688e-06 0.859297
171 3.8594e-06 3.2237e-06 0.864322
172 3.89615e-06 2.1098e-06 0.869347
173 5.8705e-06 3.7963e-06 0.874372
174 3.78195e-06 3.27525e-06 0.879397
175 3.61945e-06 3.10935e-06 0.884422
176 3.5796e-06 3.951e-06 0.889447
177 4.7221e-06 3.09195e-06 0.894472
178 3.61505e-06 2.3481e-06 0.899498
179 3.6864e-06 2.7168e-06 0.904523
180 3.3166e-06 2.26695e-06 0.909548
181 3.80435e-06 1.96975e-06 0.914573
182 3.9929e-06 2.1503e-06 0.919598
183 4.11705e-06 2.5484e-06 0.924623
184 3.4231e-06 2.23985e-06 0.929648
185 3.6323e-06 2.91445e-06 0.934673
186 4.02995e-06 3.13765e-06 0.939699
187 3.6933e-06 2.97195e-06 0.944724
188 3.32225e-06 2.0186e-06 0.949749
189 4.46e-06 2.34985e-06 0.954774
190 3.4138e-06 2.06725e-06 0.959799
191 5.0665e-06 2.13255e-06 0.964824
192 4.0853e-06 2.37025e-06 0.969849
193 3.9034e-06 2.04585e-06 0.974874
194 3.53315e-06 2.0266e-06 0.9799
195 5.25125e-06 2.0845e-06 0.984925
196 3.98355e-06 2.95415e-06 0.98995
197 3.85985e-06 3.5561e-06 0.994975
198 6.65131e-05 3.61035e-06 1
199 3.57465e-06 3.0776e-06 0.488998
200 4.2067e-06 3.60985e-06 0.491443
201 3.3698e-06 3.222e-06 0.493888
202 3.29095e-06 1.95415e-06 0.496333
203 3.8697e-06 3.1567e-06 0.498778
204 3.4165e-06 3.1327e-06 0.501222
205 3.6007e-06 1.88415e-06 0.503667
206 3.71375e-06 1.84215e-06 0.506112
207 3.4195e-06 3.37815e-06 0.508557
208 3.48435e-06 3.12455e-06 0.511002
209 3.79815e-06 2.2863e-06 0.513447
210 3.2972e-06 2.2735e-06 0.515892
211 3.719e-06 2.09295e-06 0.518337
212 3.7012e-06 1.9519e-06 0.520782
213 3.1993e-06 1.77735e-06 0.523227
214 3.63835e-06 1.8925e-06 0.525672
215 3.58345e-06 2.262e-06 0.528117
216 3.18685e-06 2.01925e-06 0.530562
217 3.4731e-06 2.08545e-06 0.533007
218 3.4718e-06 2.3774e-06 0.535452
219 3.2731e-06 2.3299e-06 0.537897
220 3.39055e-06 2.293e-06 0.540342
221 3.63375e-06 2.38335e-06 0.542787
222 3.2649e-06 2.0515e-06 0.545232
223 3.5303e-06 2.08545e-06 0.547677
224 3.2928e-06 2.2749e-06 0.550122
225 3.5644e-06 2.3124e-06 0.552567
226 3.4681e-06 2.3787e-06 0.555012
227 4.3338e-06 2.34775e-06 0.557457
228 4.80465e-06 2.4966e-06 0.559902
229 3.2256e-06 1.94355e-06 0.562347
230 3.34345e-06 2.198e-06 0.564792
231 5.60175e-06 1.9807e-06 0.567237
232 3.5934e-06 2.31025e-06 0.569682
233 3.3658e-06 3.2657e-06 0.572127
234 3.77645e-06 3.00135e-06 0.574572
235 3.4117e-06 1.86675e-06 0.577017
236 4.8166e-06 2.03835e-06 0.579462
237 4.8619e-06 1.993e-06 0.581907
238 4.31835e-06 2.63795e-06 0.584352
239 3.46585e-06 2.5268e-06 0.586797
240 3.94775e-06 2.87215e-06 0.589242
241 5.0375e-06 3.5228e-06 0.591687
242 4.096e-06 3.0606e-06 0.594132
243 4.5043e-06 2.1865e-06 0.596577
244 5.60205e-06 3.48285e-06 0.599022
245 3.99875e-06 3.57505e-06 0.601467
246 4.29615e-06 2.85975e-06 0.603912
247 4.4965e-06 2.4016e-06 0.606357
248 3.4902e-06 2.6493e-06 0.608802
249 5.05585e-06 1.9958e-06 0.611247
250 5.0845e-06 2.43625e-06 0.613692
251 8.5877e-06 2.49915e-06 0.616137
252 6.6241e-06 4.4802e-06 0.618582
253 3.74465e-06 2.01855e-06 0.621027
254 4.14845e-06 2.02185e-06 0.623472
255 3.85855e-06 3.57555e-06 0.625917
256 3.5508e-06 1.99675e-06 0.628362
257 3.69465e-06 2.0444e-06 0.630807
258 3.6523e-06 2.60795e-06 0.633252
259 3.44575e-06 3.39365e-06 0.635697
260 4.05065e-06 2.33885e-06 0.638142
261 3.3043e-06 2.0544e-06 0.640587
262 3.546e-06 2.26595e-06 0.643032
263 3.4012e-06 2.1084e-06 0.645477
264 4.68575e-06 1.9167e-06 0.647922
265 3.5081e-06 2.77475e-06 0.650367
266 3.97685e-06 1.95945e-06 0.652812
267 3.7709e-06 2.6437e-06 0.655257
268 3.36355e-06 3.53775e-06 0.657702
269 3.86685e-06 2.37285e-06 0.660147
270 3.34355e-06 2.14775e-06 0.662592
271 3.28695e-06 2.5575e-06 0.665037
272 3.5372e-06 3.2908e-06 0.667482
273 5.2659e-06 2.1308e-06 0.669927
274 5.1714e-06 3.37875e-06 0.672372
275 3.95185e-06 3.2225e-06 0.674817
276 3.6206e-06 3.10395e-06 0.677262
277 3.7061e-06 1.9064e-06 0.679707
278 3.4868e-06 2.13165e-06 0.682152
279 3.4821e-06 2.0486e-06 0.684597
280 4.81855e-06 2.21885e-06 0.687042
281 3.6226e-06 1.9182e-06 0.689487
282 4.09075e-06 2.0695e-06 0.691932
283 4.15385e-06 2.1278e-06 0.694377
284 4.55205e-06 3.42065e-06 0.696822
285 4.4398e-06 2.3336e-06 0.699266
286 3.39065e-06 2.06485e-06 0.701711
287 3.446e-06 2.27795e-06 0.704156
288 3.6586e-06 2.027e-06 0.706601
289 4.431e-06 2.0049e-06 0.709046
290 3.7103e-06 2.4847e-06 0.711491
291 4.22035e-06 1.99395e-06 0.713936
292 3.41655e-06 2.20745e-06 0.716381
293 3.90905e-06 1.899e-06 0.718826
294 3.47265e-06 1.99145e-06 0.721271
295 3.54375e-06 2.30615e-06 0.723716
296 5.1477e-06 3.5567e-06 0.726161
297 4.9106e-06 2.298e-06 0.728606
298 5.1086e-06 2.131e-06 0.731051
299 3.9308e-06 3.8439e-06 0.733496
300 4.14335e-06 2.2932e-06 0.735941
301 3.5559e-06 2.0314e-06 0.738386
302 3.6435e-06 2.85245e-06 0.740831
303 3.24835e-06 3.5149e-06 0.743276
304 3.6116e-06 3.24995e-06 0.745721
305 3.3429e-06 3.4718e-06 0.748166
306 4.072e-06 2.7491e-06 0.750611
307 3.2998e-06 3.4025e-06 0.753056
308 4.1843e-06 2.04895e-06 0.755501
309 3.71175e-06 2.4999e-06 0.757946
310 3.50685e-06 2.39795e-06 0.760391
311 4.46285e-06 3.15335e-06 0.762836
312 4.89995e-06 2.0829e-06 0.765281
313 3.80305e-06 2.1372e-06 0.767726
314 3.53235e-06 2.47405e-06 0.770171
315 4.3456e-06 2.22195e-06 0.772616
316 4.4207e-06 2.0649e-06 0.775061
317 3.57975e-06 2.6508e-06 0.777506
318 3.59395e-06 3.4934e-06 0.779951
319 5.5393e-06 3.47585e-06 0.782396
320 3.72115e-06 3.4575e-06 0.784841
321 3.64865e-06 3.4216e-06 0.787286
322 3.54e-06 2.98215e-06 0.789731
323 3.7712e-06 2.7829e-06 0.792176
324 3.25095e-06 2.14105e-06 0.794621
325 3.7633e-06 2.733e-06 0.797066
326 3.44375e-06 2.5578e-06 0.799511
327 3.79315e-06 2.1297e-06 0.801956
328 3.4672e-06 2.8437e-06 0.804401
329 3.6379e-06 2.1996e-06 0.806846
330 3.7033e-06 2.20085e-06 0.809291
331 3.3882e-06 2.2212e-06 0.811736
332 4.1636e-06 1.94375e-06 0.814181
333 3.28365e-06 2.1299e-06 0.816626
334 3.5665e-06 2.39885e-06 0.819071
335 7.154e-06 2.9162e-06 0.821516
336 4.04805e-06 3.17555e-06 0.823961
337 4.09725e-06 3.00905e-06 0.826406
338 3.44105e-06 2.2282e-06 0.828851
339 3.6571e-06 2.72055e-06 0.831296
340 3.5915e-06 2.12775e-06 0.833741
341 3.6156e-06 2.16505e-06 0.836186
342 3.55805e-06 2.47645e-06 0.838631
343 3.7351e-06 2.11025e-06 0.841076
344 3.68065e-06 2.1449e-06 0.843521
345 3.3865e-06 2.11505e-06 0.845966
346 4.09235e-06 2.3525e-06 0.848411
347 3.41845e-06 2.59715e-06 0.850856
